r_wins_total,r_losses_total,r_age,r_height,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,b_wins_total,b_losses_total,b_age,b_height,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,winner,predicted_winner,rationale_feature,justification
23,11,33.0,180.34,3.85,4.11,0.37,0.47,0.51,0.69,15,7,28.0,175.26,5.56,4.31,0.48,0.1,0.57,0.48,1,0,Strikes Landed per Minute,A higher Strikes Landed per Minute gives Blue Fighter a competitive advantage in the fight.
13,9,41.0,187.96,2.08,3.59,0.45,0.24,0.54,0.5,17,5,38.0,182.88,1.67,2.13,0.44,0.25,0.37,0.31,0,0,Wins,"Blue Fighter is favored because it has a higher Wins, indicating superior performance."
18,10,38.0,172.72,2.88,2.98,0.38,0.41,0.57,0.6,22,6,34.0,177.8,3.78,2.65,0.48,0.34,0.57,0.8,0,0,Wins,Blue Fighter is more likely to win thanks to its higher Wins compared to its opponent.
9,5,42.0,165.1,1.94,2.11,0.44,0.31,0.55,0.7,16,5,36.0,167.64,6.28,3.25,0.48,0.62,0.62,0.8,0,0,Strikes Landed per Minute,"Blue Fighter is favored because it has a higher Strikes Landed per Minute, indicating superior performance."
15,7,33.0,180.34,3.25,4.21,0.48,0.5,0.5,0.8,23,4,39.0,180.34,4.03,3.43,0.43,0.3,0.52,0.6,0,0,Wins,A higher Wins gives Blue Fighter a competitive advantage in the fight.
14,10,39.0,162.56,3.84,5.19,0.37,0.28,0.48,0.75,8,5,30.0,162.56,3.35,2.62,0.52,0.33,0.42,0.34,0,0,Losses,A lower Losses gives Blue Fighter a competitive edge in the fight.
14,7,28.0,190.5,6.02,4.63,0.48,0.55,0.41,0.75,31,15,37.0,177.8,6.14,3.74,0.52,0.37,0.62,0.74,1,0,Wins,A higher Wins gives Blue Fighter a competitive advantage in the fight.
20,2,30.0,177.8,2.97,2.27,0.51,0.36,0.45,0.4,29,12,34.0,185.42,6.14,6.29,0.48,0.46,0.47,0.58,1,1,Significant Strikes Accuracy,Red Fighter is more likely to win thanks to its higher Significant Strikes Accuracy compared to its opponent.
30,16,42.0,180.34,3.85,4.67,0.47,0.64,0.59,0.65,32,16,39.0,172.72,3.48,3.21,0.47,0.35,0.6,0.55,0,0,Wins,"Blue Fighter is favored because it has a higher Wins, indicating superior performance."
18,12,38.0,160.02,3.56,4.19,0.46,0.32,0.49,0.7,14,3,36.0,162.56,3.43,4.21,0.54,0.63,0.44,0.57,0,0,Losses,Blue Fighter is favored because it has a lower Losses compared to its opponent.
19,7,41.0,175.26,2.36,2.76,0.48,0.4,0.54,0.87,18,5,31.0,182.88,2.3,3.31,0.46,0.46,0.56,0.69,1,0,Age,"Blue Fighter is more likely to win due to its lower Age, indicating superior defense or youth."
20,10,36.0,185.42,3.38,3.15,0.43,0.26,0.55,0.81,35,19,44.0,182.88,2.71,2.32,0.49,0.51,0.55,0.7,1,1,Strikes Avoided per Minute,Red Fighter is more likely to win thanks to its higher Strikes Avoided per Minute compared to its opponent.
28,9,42.0,185.42,2.13,2.99,0.4,0.27,0.52,0.3,24,13,37.0,187.96,3.57,2.96,0.44,0.19,0.56,0.57,1,0,Strikes Landed per Minute,"Blue Fighter is favored because it has a higher Strikes Landed per Minute, indicating superior performance."
16,0,24.0,182.88,5.28,3.6,0.46,0.41,0.52,0.91,9,4,35.0,185.42,4.3,5.13,0.54,0.33,0.48,0.5,1,1,Takedown Accuracy,"Red Fighter is favored because it has a higher Takedown Accuracy, indicating superior performance."
15,7,38.0,172.72,4.77,3.82,0.42,0.41,0.55,0.61,17,9,32.0,175.26,4.67,4.11,0.47,0.35,0.53,0.32,1,1,Takedown Accuracy,Red Fighter is more likely to win thanks to its higher Takedown Accuracy compared to its opponent.
35,11,44.0,167.64,2.65,2.59,0.4,0.3,0.64,0.58,10,3,43.0,170.18,2.36,2.98,0.26,0.7,0.64,0.54,1,1,Takedown Defense,A higher Takedown Defense gives Red Fighter a competitive advantage in the fight.
12,5,34.0,167.64,3.16,2.3,0.47,0.55,0.5,0.23,5,3,35.0,165.1,5.6,4.43,0.41,0.54,0.64,0.69,1,0,Strikes Landed per Minute,"Blue Fighter is favored because it has a higher Strikes Landed per Minute, indicating superior performance."
25,14,45.0,167.64,3.02,4.63,0.31,0.44,0.55,0.58,23,9,31.0,172.72,4.31,5.48,0.49,0.39,0.5,0.7,0,0,Age,"Blue Fighter is more likely to win due to its lower Age, indicating superior defense or youth."
22,12,39.0,180.34,4.63,3.68,0.37,0.25,0.6,0.69,8,5,42.0,182.88,2.69,2.57,0.45,0.55,0.54,0.38,1,1,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Red Fighter a competitive advantage in the fight.
20,10,36.0,185.42,3.38,3.15,0.43,0.26,0.55,0.81,26,7,33.0,182.88,4.57,3.45,0.42,0.38,0.59,0.82,0,0,Wins,A higher Wins gives Blue Fighter a competitive advantage in the fight.
13,3,37.0,175.26,2.9,4.38,0.4,0.41,0.56,0.8,20,5,31.0,177.8,2.95,3.02,0.33,0.31,0.51,0.47,0,0,Wins,A higher Wins gives Blue Fighter a competitive advantage in the fight.
12,6,41.0,172.72,3.25,4.91,0.45,0.28,0.5,0.86,15,8,38.0,172.72,2.46,3.55,0.33,0.43,0.59,0.7,0,1,Strikes Avoided per Minute,Red Fighter is more likely to win thanks to its higher Strikes Avoided per Minute compared to its opponent.
13,5,38.0,167.64,6.61,4.37,0.52,0.3,0.5,0.72,13,8,35.0,175.26,2.77,4.31,0.44,0.53,0.49,0.58,0,1,Strikes Avoided per Minute,Red Fighter is more likely to win thanks to its higher Strikes Avoided per Minute compared to its opponent.
17,11,46.0,177.8,1.79,2.27,0.36,0.48,0.63,0.64,21,9,51.0,175.26,2.79,1.9,0.46,0.47,0.56,0.75,1,0,Wins,A higher Wins gives Blue Fighter a competitive advantage in the fight.
17,6,34.0,182.88,2.68,2.59,0.37,0.27,0.58,0.68,14,6,41.0,182.88,2.42,3.73,0.42,0.38,0.59,0.75,1,1,Strikes Landed per Minute,"Red Fighter is favored because it has a higher Strikes Landed per Minute, indicating superior performance."
11,6,40.0,165.1,4.37,4.93,0.43,0.18,0.56,0.85,17,6,29.0,165.1,6.34,4.78,0.56,0.45,0.49,0.68,0,0,Wins,Blue Fighter is more likely to win thanks to its higher Wins compared to its opponent.
31,9,33.0,160.02,5.36,4.27,0.4,0.58,0.56,0.67,23,9,31.0,172.72,4.31,5.48,0.49,0.39,0.5,0.7,1,1,Takedown Accuracy,A higher Takedown Accuracy gives Red Fighter a competitive advantage in the fight.
33,13,36.0,210.82,3.12,4.04,0.47,0.46,0.46,0.55,34,23,45.0,190.5,3.78,3.2,0.45,0.36,0.57,0.76,0,1,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Red Fighter a competitive advantage in the fight.
18,8,31.0,175.26,3.88,3.6,0.42,0.43,0.5,0.75,34,9,34.0,177.8,3.54,3.19,0.53,0.4,0.51,0.55,0,0,Wins,Blue Fighter is more likely to win thanks to its higher Wins compared to its opponent.
33,15,40.0,187.96,5.1,3.65,0.49,0.42,0.6,0.65,16,8,29.0,182.88,3.3,6.26,0.41,1.0,0.45,0.66,1,1,Significant Strikes Accuracy,"Red Fighter is favored because it has a higher Significant Strikes Accuracy, indicating superior performance."
17,7,39.0,167.64,2.58,2.46,0.41,0.4,0.64,0.72,19,10,36.0,175.26,3.35,3.33,0.48,0.57,0.55,0.68,1,1,Takedown Defense,A higher Takedown Defense gives Red Fighter a competitive advantage in the fight.
22,6,40.0,187.96,3.25,1.83,0.47,0.57,0.6,0.77,25,10,41.0,182.88,2.46,3.44,0.35,0.35,0.51,0.35,1,1,Takedown Accuracy,"Red Fighter is favored because it has a higher Takedown Accuracy, indicating superior performance."
23,15,40.0,175.26,3.73,3.42,0.41,0.6,0.62,0.63,20,14,42.0,190.5,3.08,3.14,0.31,0.16,0.51,0.48,1,1,Takedown Accuracy,A higher Takedown Accuracy gives Red Fighter a competitive advantage in the fight.
18,9,49.0,180.34,0.85,3.67,0.36,0.28,0.36,0.25,15,6,49.0,182.88,2.75,0.79,0.65,0.37,0.66,0.54,0,0,Strikes Landed per Minute,"Blue Fighter is favored because it has a higher Strikes Landed per Minute, indicating superior performance."
19,7,29.0,180.34,3.3,2.56,0.45,0.4,0.6,0.62,12,3,38.0,180.34,2.2,3.0,0.49,0.18,0.54,0.1,0,1,Takedown Accuracy,A higher Takedown Accuracy gives Red Fighter a competitive advantage in the fight.
13,6,31.0,165.1,3.69,3.51,0.41,0.47,0.63,0.59,8,5,30.0,162.56,3.35,2.62,0.52,0.33,0.42,0.34,1,1,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Red Fighter a competitive advantage in the fight.
