r_wins_total,r_losses_total,r_age,r_height,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,b_wins_total,b_losses_total,b_age,b_height,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,winner,predicted_winner,rationale_feature,justification
17,4,39.0,187.96,2.85,1.33,0.34,0.38,0.72,0.72,23,5,40.0,187.96,2.82,1.39,0.43,0.44,0.71,0.8,0,0,Takedown Accuracy,A higher Takedown Accuracy gives Blue Fighter a competitive advantage in the fight.
18,12,38.0,160.02,3.56,4.19,0.46,0.32,0.49,0.7,16,13,39.0,160.02,5.44,4.94,0.5,0.34,0.61,0.75,1,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
17,2,36.0,185.42,3.4,1.8,0.4,0.43,0.62,0.6,19,9,39.0,175.26,3.8,2.17,0.41,0.48,0.62,0.63,1,1,Losses,A lower Losses gives Red Fighter a competitive edge in the fight.
32,8,53.0,182.88,3.05,2.64,0.59,0.43,0.56,0.25,15,18,47.0,175.26,2.77,3.93,0.45,0.47,0.4,0.6,1,1,Losses,Red Fighter is favored because it has a lower Losses compared to its opponent.
16,4,37.0,162.56,3.77,3.29,0.46,0.32,0.6,0.75,11,3,34.0,170.18,1.33,3.82,0.21,0.37,0.51,0.5,1,1,Strikes Landed per Minute,A higher Strikes Landed per Minute gives Red Fighter a competitive advantage in the fight.
13,6,35.0,182.88,3.76,3.07,0.42,0.28,0.6,0.71,12,3,31.0,172.72,4.9,4.97,0.51,0.4,0.49,0.89,0,0,Strikes Avoided per Minute,Blue Fighter is more likely to win thanks to its higher Strikes Avoided per Minute compared to its opponent.
8,4,39.0,160.02,2.34,6.42,0.37,0.4,0.48,0.31,21,13,41.0,177.8,4.53,1.75,0.5,0.62,0.63,0.62,0,0,Takedown Accuracy,A higher Takedown Accuracy gives Blue Fighter a competitive advantage in the fight.
22,3,36.0,165.1,3.08,3.46,0.55,0.44,0.51,0.58,24,8,32.0,167.64,4.12,3.14,0.46,0.44,0.59,0.82,1,0,Height,"Blue Fighter is favored because it has a higher Height, indicating superior performance."
28,11,46.0,185.42,1.8,2.07,0.43,0.24,0.63,0.61,15,7,39.0,187.96,2.98,3.27,0.43,0.43,0.5,0.65,0,1,Wins,Red Fighter is more likely to win thanks to its higher Wins compared to its opponent.
27,12,39.0,190.5,2.43,2.48,0.5,0.26,0.4,0.53,60,17,46.0,187.96,3.29,3.8,0.48,0.46,0.44,0.37,1,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
30,8,35.0,175.26,5.45,4.36,0.51,0.36,0.53,0.63,12,4,40.0,185.42,3.37,2.7,0.44,0.25,0.5,0.15,1,1,Wins,"Red Fighter is favored because it has a higher Wins, indicating superior performance."
18,8,31.0,175.26,3.88,3.6,0.42,0.43,0.5,0.75,14,7,36.0,177.8,4.06,4.53,0.4,0.18,0.61,0.74,0,1,Age,"Red Fighter is more likely to win due to its lower Age, indicating superior defense or youth."
35,10,43.0,175.26,2.72,2.79,0.45,0.62,0.49,0.6,23,10,39.0,162.56,1.83,3.04,0.29,0.42,0.55,0.47,1,1,Wins,A higher Wins gives Red Fighter a competitive advantage in the fight.
22,11,43.0,180.34,2.87,2.87,0.42,0.41,0.52,0.53,26,15,43.0,172.72,2.23,2.21,0.42,0.63,0.69,0.67,1,1,Losses,Red Fighter is favored because it has a lower Losses compared to its opponent.
32,18,40.0,175.26,2.96,1.85,0.4,0.63,0.66,0.61,28,19,37.0,175.26,3.17,3.05,0.4,0.38,0.58,0.65,1,1,Losses,"Red Fighter is more likely to win due to its lower Losses, indicating superior defense or youth."
10,3,32.0,182.88,3.61,3.03,0.51,0.54,0.51,0.71,30,11,30.0,185.42,5.15,3.71,0.54,0.55,0.58,0.94,0,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
21,3,29.0,177.8,5.13,3.7,0.52,0.25,0.41,0.56,20,6,35.0,175.26,5.39,3.4,0.57,0.4,0.57,0.62,1,1,Losses,A lower Losses gives Red Fighter a competitive edge in the fight.
27,5,33.0,165.1,4.32,3.9,0.49,0.48,0.5,0.67,22,3,36.0,165.1,3.08,3.46,0.55,0.44,0.51,0.58,0,1,Strikes Landed per Minute,Red Fighter is more likely to win thanks to its higher Strikes Landed per Minute compared to its opponent.
18,5,32.0,162.56,2.82,3.91,0.41,0.25,0.48,0.35,15,0,31.0,170.18,5.75,4.0,0.5,0.5,0.66,0.89,0,0,Takedown Accuracy,A higher Takedown Accuracy gives Blue Fighter a competitive advantage in the fight.
22,9,32.0,180.34,5.17,5.15,0.52,0.6,0.52,0.62,32,16,39.0,172.72,3.48,3.21,0.47,0.35,0.6,0.55,1,1,Losses,Red Fighter is favored because it has a lower Losses compared to its opponent.
18,9,32.0,175.26,3.55,3.23,0.41,0.3,0.58,0.59,14,5,35.0,180.34,3.25,2.98,0.5,0.17,0.59,0.59,1,0,Strike Defense,A higher Strike Defense gives Blue Fighter a competitive advantage in the fight.
25,7,32.0,180.34,7.17,4.75,0.47,0.53,0.59,0.84,17,8,37.0,170.18,3.93,4.52,0.41,0.44,0.52,0.72,1,1,Strikes Landed per Minute,A higher Strikes Landed per Minute gives Red Fighter a competitive advantage in the fight.
22,9,32.0,180.34,5.17,5.15,0.52,0.6,0.52,0.62,15,6,33.0,180.34,4.97,5.47,0.5,0.44,0.57,0.87,0,0,Strikes Avoided per Minute,"Blue Fighter is favored because it has a higher Strikes Avoided per Minute, indicating superior performance."
18,10,42.0,170.18,3.36,3.5,0.4,0.5,0.54,0.58,28,11,39.0,167.64,1.59,1.77,0.37,0.32,0.5,0.24,0,0,Age,A lower Age gives Blue Fighter a competitive edge in the fight.
23,5,35.0,172.72,4.55,2.62,0.51,0.54,0.57,0.82,9,3,33.0,167.64,3.21,4.54,0.48,0.18,0.45,0.27,1,1,Wins,Red Fighter is more likely to win thanks to its higher Wins compared to its opponent.
18,7,32.0,170.18,3.76,3.52,0.45,0.26,0.57,0.58,17,5,35.0,175.26,6.14,5.58,0.46,0.41,0.55,0.86,1,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
13,7,40.0,167.64,2.78,2.51,0.54,0.51,0.61,0.65,14,9,29.0,172.72,3.68,3.83,0.37,0.27,0.51,0.66,1,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
34,23,40.0,182.88,2.57,2.57,0.36,0.37,0.5,0.55,29,0,35.0,177.8,4.1,1.75,0.48,0.48,0.65,0.84,0,0,Takedown Accuracy,"Blue Fighter is favored because it has a higher Takedown Accuracy, indicating superior performance."
14,8,46.0,190.5,1.89,3.38,0.34,0.36,0.56,0.5,17,15,52.0,182.88,3.06,3.2,0.54,0.57,0.52,0.33,1,1,Losses,Red Fighter is favored because it has a lower Losses compared to its opponent.
27,14,48.0,182.88,2.74,2.84,0.45,0.35,0.6,0.7,14,4,42.0,175.26,2.69,3.2,0.32,0.66,0.64,0.63,1,0,Takedown Accuracy,"Blue Fighter is favored because it has a higher Takedown Accuracy, indicating superior performance."
35,14,45.0,170.18,3.81,3.52,0.41,0.65,0.6,0.63,16,7,45.0,172.72,5.56,5.6,0.47,0.12,0.45,0.58,1,1,Wins,A higher Wins gives Red Fighter a competitive advantage in the fight.
16,9,35.0,170.18,4.14,3.29,0.52,0.27,0.6,0.63,9,8,46.0,167.64,3.2,3.52,0.41,0.63,0.59,0.5,1,1,Age,Red Fighter is favored because it has a lower Age compared to its opponent.
31,9,33.0,160.02,5.36,4.27,0.4,0.58,0.56,0.67,23,9,31.0,172.72,4.31,5.48,0.49,0.39,0.5,0.7,1,1,Wins,Red Fighter is more likely to win thanks to its higher Wins compared to its opponent.
22,6,40.0,187.96,3.25,1.83,0.47,0.57,0.6,0.77,23,5,40.0,187.96,2.82,1.39,0.43,0.44,0.71,0.8,1,0,Losses,A lower Losses gives Blue Fighter a competitive edge in the fight.
10,6,40.0,182.88,2.5,2.41,0.42,0.32,0.6,0.57,11,6,42.0,193.04,2.97,3.81,0.4,0.41,0.51,0.52,1,1,Age,"Red Fighter is more likely to win due to its lower Age, indicating superior defense or youth."
20,12,39.0,175.26,4.17,4.08,0.28,0.38,0.57,0.77,24,9,47.0,170.18,3.17,3.03,0.43,0.3,0.64,0.6,1,0,Strike Defense,Blue Fighter is more likely to win thanks to its higher Strike Defense compared to its opponent.
16,3,33.0,172.72,4.07,6.54,0.38,0.27,0.49,0.57,38,21,42.0,170.18,2.64,3.01,0.33,0.36,0.61,0.67,1,1,Losses,A lower Losses gives Red Fighter a competitive edge in the fight.
16,6,40.0,165.1,4.05,5.25,0.39,0.25,0.55,0.69,12,9,37.0,167.64,2.54,2.48,0.37,0.44,0.71,0.66,1,1,Losses,Red Fighter is favored because it has a lower Losses compared to its opponent.
5,3,46.0,190.5,3.53,2.11,0.72,0.55,0.5,0.6,14,3,41.0,185.42,6.37,2.33,0.57,0.45,0.57,0.85,0,0,Strikes Avoided per Minute,"Blue Fighter is favored because it has a higher Strikes Avoided per Minute, indicating superior performance."
13,3,24.0,185.42,4.86,3.59,0.51,0.22,0.36,0.55,19,11,33.0,177.8,4.76,5.94,0.4,0.26,0.53,0.64,0,1,Losses,A lower Losses gives Red Fighter a competitive edge in the fight.
15,7,42.0,185.42,3.66,2.62,0.51,0.76,0.66,0.73,18,8,36.0,185.42,3.18,3.73,0.39,0.09,0.5,0.57,1,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
20,16,39.0,172.72,3.68,4.09,0.4,0.35,0.62,0.75,35,17,39.0,180.34,4.05,3.05,0.47,0.59,0.64,0.72,0,0,Takedown Accuracy,Blue Fighter is more likely to win thanks to its higher Takedown Accuracy compared to its opponent.
33,13,36.0,210.82,3.12,4.04,0.47,0.46,0.46,0.55,35,17,50.0,187.96,3.29,3.83,0.45,0.33,0.52,0.39,1,1,Age,A lower Age gives Red Fighter a competitive edge in the fight.
22,11,43.0,180.34,2.87,2.87,0.42,0.41,0.52,0.53,12,6,43.0,185.42,3.28,2.65,0.42,0.12,0.59,0.6,0,0,Height,"Blue Fighter is favored because it has a higher Height, indicating superior performance."
19,6,37.0,180.34,3.25,4.2,0.4,0.4,0.53,0.61,39,14,42.0,193.04,3.71,4.63,0.42,0.34,0.47,0.7,1,0,Strikes Avoided per Minute,A higher Strikes Avoided per Minute gives Blue Fighter a competitive advantage in the fight.
22,6,35.0,180.34,3.02,3.46,0.4,0.34,0.5,0.4,18,5,33.0,172.72,2.02,1.54,0.59,0.42,0.49,0.5,1,0,Takedown Accuracy,"Blue Fighter is favored because it has a higher Takedown Accuracy, indicating superior performance."
22,10,38.0,185.42,3.7,2.9,0.57,0.45,0.51,0.59,30,9,32.0,190.5,4.38,2.47,0.55,0.38,0.44,0.53,0,0,Losses,A lower Losses gives Blue Fighter a competitive edge in the fight.
36,17,40.0,185.42,4.41,4.48,0.46,0.33,0.53,0.73,14,8,32.0,177.8,4.32,5.16,0.47,0.4,0.52,0.78,1,1,Wins,"Red Fighter is favored because it has a higher Wins, indicating superior performance."
10,7,32.0,170.18,3.26,3.63,0.44,0.16,0.53,0.3,19,10,36.0,175.26,3.35,3.33,0.48,0.57,0.55,0.68,0,0,Takedown Accuracy,"Blue Fighter is favored because it has a higher Takedown Accuracy, indicating superior performance."
7,5,35.0,195.58,4.79,3.31,0.5,0.33,0.55,0.64,10,4,34.0,190.5,2.95,2.95,0.51,0.33,0.56,1.0,0,0,Strike Defense,A higher Strike Defense gives Blue Fighter a competitive advantage in the fight.
